Type,Name,Parent,Relationships,Notes
Actor,Inventory Monitoring Agent,,,
Actor,Inventory Manager,,,
Actor,Researcher / Evaluator,,,
System,SmartCart AI,,,
Use Case,Continuous Inventory Health Monitoring,SmartCart AI,Association:Inventory Monitoring Agent,
Use Case,Waste & Spoilage Risk Detection,SmartCart AI,Include:Continuous Inventory Health Monitoring,
Use Case,Prescriptive Intervention Selection,SmartCart AI,Include:Waste & Spoilage Risk Detection;Association:Decision Agent (Orchestrator),
Use Case,Cost-Aware Decision Filtering,SmartCart AI,Include:Prescriptive Intervention Selection,
Use Case,Operational Cost-Aware Intervention Filtering,SmartCart AI,Include:Prescriptive Intervention Selection,
Use Case,Explainable AI Decision Generation,SmartCart AI,Include:Prescriptive Intervention Selection,
Use Case,Manager Decision Support,SmartCart AI,Association:Inventory Manager,
Use Case,System Evaluation & Simulation,SmartCart AI,Association:Researcher / Evaluator,
Use Case,Event-Driven Real-Time Orchestration,SmartCart AI,Include:Continuous Inventory Health Monitoring,
Agent,Decision Agent (Orchestrator),SmartCart AI,,
Agent,Risk Assessment Sub-Agent,Decision Agent (Orchestrator),,
Agent,Feasibility Sub-Agent,Decision Agent (Orchestrator),,
Agent,Cost & Operational Impact Sub-Agent,Decision Agent (Orchestrator),,
Agent,Explanation Generation Sub-Agent,Decision Agent (Orchestrator),,
